gold_diff,kill_diff,my_team_win
2325,4,True
-1032,-3,True
-413,0,False
2255,6,True
2340,2,True
-3215,-5,False
-683,0,True
661,1,False
934,2,True
-489,-1,True
-134,2,True
-961,-1,True
-173,-2,True
98,-2,True
3693,7,True
3141,5,True
-94,1,False
1479,0,False
4719,13,True
473,1,False
834,2,True
-393,-1,False
1017,3,False
-4136,-7,False
372,2,True
2031,4,True
-2119,-4,False
3007,4,True
3342,8,True
-1129,-2,True
1257,2,True
4001,10,True
-1530,-3,False
-2273,-8,True
-105,2,True
-278,-1,True
252,3,False
3339,6,True
-194,2,False
3278,7,True
-1023,0,True
6539,11,True
-553,-1,False
3847,8,True
-2147,-4,False
-33,-2,False
2712,5,True
-235,-3,False
-174,1,True
2248,4,True
-893,-2,False
-157,-1,True
6866,11,True
2379,5,True
-1951,-5,False
-454,-3,True
-1319,-1,True
-3821,-6,False
3103,5,True
-1687,-7,True
5378,13,True
618,0,False
2560,4,True
-1892,-6,False
-275,-1,True
-1267,-3,True
1752,3,False
1307,5,True
1905,6,True
222,0,True
-1149,-1,True
4035,9,True
1852,4,True
-1326,-3,False
443,0,True
1022,-1,True
4769,9,True
-23,-2,True
-715,-1,True
288,-1,True
-1107,-3,False
144,3,True
-1696,-3,True
-1627,-3,True
-4498,-9,False
1127,0,False
-758,-3,True
2387,2,True
-1044,-2,False
2753,5,True
-433,0,False
1729,3,True
1259,5,True
1575,0,False
-126,-2,True
14,1,True
-1117,-1,False
-389,0,False
699,0,True
3435,6,True
1189,1,True
-3582,-6,False
-463,-1,True
744,2,True
-659,-3,True
2285,5,True
-2215,-3,False
-3352,-4,False
-2496,-6,True
-667,-2,True
-787,-1,False
4140,10,True
2143,4,True
-1840,-1,False
-1202,-2,False
1476,2,True
924,3,True
1012,1,True
2121,3,True
-1981,-6,False
190,0,False
416,1,True
-510,0,True
3516,9,True
-1636,-4,False
1431,1,True
1492,1,True
-2439,-4,False
98,-1,False
502,3,True
1710,2,True
-291,-2,True
2425,3,True
-742,-1,False
2162,6,True
-2721,-3,False
1906,4,False
-1200,-5,False
-1013,-1,False
5891,8,True
1129,3,True
-2916,-7,False
-1081,-2,False
538,2,False
643,0,False
-2398,-4,False
-280,-1,False
-1667,-3,False
-2717,-5,False
763,3,True
-418,3,False
-546,-3,True
1335,4,True
-2966,-1,False
1582,3,False
-1313,-1,False
2120,5,True
2224,3,True
1308,1,False
341,1,True
1829,2,True
1403,2,False
1859,4,False
3012,3,True
-692,-1,True
-645,-2,False
-3038,-7,False
-4412,-7,False
1368,3,False
-894,-5,False
-3447,-4,True
-1375,-3,True
-2048,-4,False
536,2,False
-194,0,False
3687,7,True
-2003,-5,False
643,1,False
-2675,-4,False
575,1,True
3833,5,True
-2607,-4,False
-3141,-6,False
-1298,-1,True
217,-2,False
801,2,True
-745,1,True
3792,7,True
-1668,-2,False
83,2,True
132,-2,True
1485,1,False
993,3,False
-712,-1,False
-3011,-4,False
297,0,True
2142,6,False
4551,8,True
-474,-2,False
-4614,-10,False
-882,-4,False
-282,-1,False
-2222,-5,False
-549,0,False
3818,6,True
2271,6,True
-1127,-5,False
920,1,False
-66,-2,False
-2200,-4,False
3465,11,True
1417,3,True
703,-1,True
-887,-4,True
2445,8,True
108,2,False
2877,7,False
1473,1,False
1709,2,True
1041,2,False
-3373,-6,False
288,3,True
-822,-3,False
336,1,True
2896,6,True
534,-1,False
-26,1,True
-140,-4,True
-2723,-5,False
14,1,False
-684,-1,True
946,4,True
-617,-3,True
-2575,-5,False
-706,-1,True
-989,-2,True
-1634,-2,False
3394,8,True
-276,-1,True
-1463,-3,True
381,1,True
3217,5,True
-808,-2,True
885,2,True
-1437,-3,True
-2555,-4,False
-2217,-4,True
1560,4,True
-1796,-6,False
-8,0,True
-2176,-4,True
568,2,True
185,0,True
-316,1,False
-3571,-6,False
256,2,True
2215,2,True
3390,8,True
-773,0,False
-662,0,True
-443,-3,False
2888,8,True
2184,5,True
-1202,-1,False
2891,7,True
4765,9,True
2997,6,True
-4191,-8,False
2726,6,True
-850,-4,False
-2011,-7,False
-727,-4,True
690,-1,True
3775,6,True
-85,1,True
900,1,False
3262,5,False
1294,3,True
-3366,-3,False
-750,-3,True
1095,6,True
-946,-4,True
-1717,-6,True
-30,-3,False
501,0,True
-1783,-6,False
-4581,-12,False
2820,4,True
-3682,-5,False
733,3,True
2626,5,True
-398,-2,True
2151,6,True
1052,4,True
-84,1,False
1085,1,True
2059,5,True
-1527,-5,False
855,2,False
-862,-3,False
-524,1,False
-2040,-5,False
2228,4,True
1386,2,True
1204,0,True
719,2,True
2398,4,False
1296,0,True
-2036,-3,False
1441,2,True
-1500,-5,False
-875,-2,False
-729,-2,False
235,2,False
720,1,False
-1598,-2,True
1953,1,True
1022,2,True
3839,9,True
-2504,-6,False
718,2,True
-1215,-4,False
-568,-1,True
-555,1,False
780,0,False
-725,-1,False
791,4,True
-2105,-3,False
-1376,-4,True
171,0,False
5333,11,True
-3781,-8,False
1581,1,False
3224,8,True
2593,3,True
574,3,False
-1130,-3,False
1808,4,True
1441,3,True
1880,5,True
702,2,True
-2169,-4,False
-57,0,True
2391,4,True
-483,-1,True
431,1,True
-1082,-3,False
-1149,-2,True
-2800,-5,False
-3935,-7,False
-1066,-2,False
-261,0,True
-419,-3,False
2346,5,True
721,2,False
-347,0,True
3294,1,False
-958,-1,False
-3205,-5,False
1380,4,True
-1947,-5,False
900,3,True
1355,3,True
655,1,True
-280,-2,True
-2616,-6,False
-2232,-4,True
2821,5,True
34,1,False
-2901,-6,True
1245,2,False
2067,4,False
1292,1,True
477,1,False
-1768,-5,True
170,3,False
-1624,0,True
-786,0,False
-1294,1,True
388,1,True
798,1,False
794,-2,True
-811,-3,True
979,0,True
3031,6,True
1086,-2,False
-2683,-6,False
645,2,False
