gold_diff,kill_diff,my_team_tower_fb,my_team_drake_fb,my_team_herald_fb,my_team_win
2325,4,0,0,0,True
-1032,-3,0,1,0,True
-413,0,0,0,1,False
2255,6,0,1,1,True
2340,2,0,1,1,True
-3215,-5,1,0,1,False
-683,0,1,1,0,True
661,1,1,0,0,False
934,2,1,1,1,True
-489,-1,0,0,1,True
-134,2,0,1,1,True
-961,-1,1,1,1,True
-173,-2,1,1,0,True
98,-2,0,0,1,True
3693,7,0,1,1,True
3141,5,0,1,0,True
-94,1,0,1,0,False
1479,0,0,1,0,False
4719,13,0,1,0,True
473,1,1,1,0,False
834,2,0,1,0,True
-393,-1,0,0,1,False
1017,3,1,0,1,False
-4136,-7,1,0,0,False
372,2,1,1,1,True
2031,4,0,1,1,True
-2119,-4,1,0,0,False
3007,4,0,0,1,True
3342,8,0,0,0,True
-1129,-2,1,0,0,True
1257,2,0,0,1,True
4001,10,0,1,1,True
-1530,-3,1,0,0,False
-2273,-8,0,1,0,True
-105,2,1,1,1,True
-278,-1,0,0,1,True
252,3,1,1,0,False
3339,6,0,1,0,True
-194,2,1,1,0,False
3278,7,0,0,1,True
-1023,0,0,1,1,True
6539,11,0,1,1,True
-553,-1,1,0,0,False
3847,8,0,1,1,True
-2147,-4,1,0,0,False
-33,-2,1,0,0,False
2712,5,0,0,1,True
-235,-3,1,1,0,False
-174,1,0,1,1,True
2248,4,0,1,1,True
-893,-2,1,1,0,False
-157,-1,0,1,0,True
6866,11,0,1,0,True
2379,5,0,0,1,True
-1951,-5,0,1,0,False
-454,-3,0,0,1,True
-1319,-1,0,1,1,True
-3821,-6,1,1,0,False
3103,5,0,0,1,True
-1687,-7,0,1,1,True
5378,13,0,1,1,True
618,0,0,1,0,False
2560,4,0,1,1,True
-1892,-6,1,1,1,False
-275,-1,0,0,0,True
-1267,-3,0,0,1,True
1752,3,0,1,0,False
1307,5,0,0,1,True
1905,6,0,1,1,True
222,0,1,1,1,True
-1149,-1,0,1,1,True
4035,9,0,1,0,True
1852,4,0,1,0,True
-1326,-3,0,0,0,False
443,0,0,1,1,True
1022,-1,0,0,1,True
4769,9,0,1,0,True
-23,-2,1,0,1,True
-715,-1,1,1,1,True
288,-1,0,0,0,True
-1107,-3,1,1,0,False
144,3,1,1,0,True
-1696,-3,1,1,0,True
-1627,-3,0,0,0,True
-4498,-9,1,0,0,False
1127,0,0,0,1,False
-758,-3,1,1,1,True
2387,2,0,1,1,True
-1044,-2,1,0,0,False
2753,5,0,1,1,True
-433,0,0,0,1,False
1729,3,1,1,0,True
1259,5,1,1,0,True
1575,0,0,1,0,False
-126,-2,0,1,1,True
14,1,0,1,0,True
-1117,-1,1,0,1,False
-389,0,1,1,0,False
699,0,0,1,1,True
3435,6,0,1,1,True
1189,1,0,1,1,True
-3582,-6,1,0,1,False
-463,-1,0,0,1,True
744,2,0,1,0,True
-659,-3,0,0,0,True
2285,5,0,1,1,True
-2215,-3,1,1,0,False
-3352,-4,1,1,0,False
-2496,-6,1,0,0,True
-667,-2,0,0,1,True
-787,-1,1,0,0,False
4140,10,0,1,0,True
2143,4,1,1,0,True
-1840,-1,1,0,0,False
-1202,-2,1,1,1,False
1476,2,0,1,1,True
924,3,0,0,0,True
1012,1,0,0,0,True
2121,3,0,0,1,True
-1981,-6,1,0,0,False
190,0,1,0,0,False
416,1,0,1,1,True
-510,0,0,0,0,True
3516,9,0,0,0,True
-1636,-4,0,0,0,False
1431,1,1,0,1,True
1492,1,0,1,1,True
-2439,-4,1,0,0,False
98,-1,1,0,0,False
502,3,0,0,1,True
1710,2,0,1,0,True
-291,-2,0,0,0,True
2425,3,0,0,0,True
-742,-1,1,0,0,False
2162,6,0,0,1,True
-2721,-3,1,0,0,False
1906,4,0,1,0,False
-1200,-5,1,0,0,False
-1013,-1,0,0,0,False
5891,8,0,1,1,True
1129,3,0,1,0,True
-2916,-7,1,0,0,False
-1081,-2,1,1,0,False
538,2,0,1,1,False
643,0,0,0,0,False
-2398,-4,1,1,0,False
-280,-1,1,0,1,False
-1667,-3,1,0,0,False
-2717,-5,1,1,0,False
763,3,1,0,0,True
-418,3,1,1,1,False
-546,-3,0,1,1,True
1335,4,0,0,1,True
