gold_diff,kill_diff,my_team_win
665,2,False
2368,3,True
221,3,True
1009,3,False
1441,2,True
306,1,True
3019,2,True
861,2,False
501,1,True
310,1,True
111,1,True
1433,3,True
683,2,True
2685,5,False
766,2,True
777,5,False
1643,2,False
881,0,False
1416,1,True
353,1,False
589,0,False
244,1,True
411,1,False
1555,1,False
318,1,False
481,1,True
2006,3,True
41,1,True
592,2,True
2438,3,True
1691,5,False
2749,6,True
1640,4,True
1046,5,True
1823,3,False
1568,1,False
1054,2,True
1080,2,True
2578,4,True
3996,8,False
909,3,True
2908,5,False
1772,3,True
11,0,True
3591,7,True
934,2,True
1536,3,False
1134,3,True
1010,1,False
1135,1,False
1439,4,False
2694,3,False
29,1,True
552,0,True
76,0,True
1788,6,False
168,0,False
377,2,False
4964,8,False
3691,7,True
4589,6,False
1351,2,False
290,3,True
2266,5,True
1098,4,False
2153,3,False
3537,5,True
3289,6,False
1757,4,True
912,2,False
1289,2,True
2053,2,False
4370,8,False
50,1,True
72,2,False
150,2,True
969,5,True
3620,7,True
2839,6,False
1686,2,False
1622,1,False
3373,6,False
306,2,False
3181,6,True
834,5,False
539,1,False
1299,2,False
2802,4,False
213,1,True
2139,5,False
1065,2,True
2277,4,False
1873,4,False
696,0,True
122,0,False
624,0,True
1084,4,True
2449,4,False
2945,6,True
4411,9,True
2470,4,True
1750,2,False
1262,4,True
138,2,False
735,1,False
2057,3,True
490,0,False
1279,2,True
1891,6,True
2256,6,True
1473,4,True
2852,5,False
2117,4,True
1305,1,False
3125,9,False
1104,6,True
779,1,False
2729,5,True
2748,6,True
1107,3,False
4367,8,True
1029,5,False
1966,4,False
1092,2,True
3523,9,False
1239,4,False
1681,4,False
1081,1,False
607,1,False
994,1,False
2838,6,True
942,4,False
759,4,False
371,1,False
469,1,True
200,2,True
2361,6,True
5407,8,True
416,5,False
380,1,False
2447,4,False
2242,5,True
2022,2,False
2376,5,True
1010,2,False
1434,5,False
829,3,False
2062,4,False
2716,5,True
1928,3,False
1673,5,True
2776,6,False
1684,2,True
2688,5,True
4292,8,True
1717,3,False
2084,3,True
1661,6,False
478,0,False
1670,4,True
3961,7,False
717,1,False
1316,1,True
577,0,True
451,0,True
352,1,False
1280,3,False
356,3,False
2069,5,False
1108,2,True
1439,1,False
134,1,True
2321,4,False
3924,5,True
1132,3,False
722,1,False
1550,4,False
513,1,False
3050,7,True
2789,3,True
3531,6,True
2766,4,True
1712,1,True
91,2,False
116,1,True
4283,8,False
983,5,True
1837,4,True
3216,6,False
2359,5,True
1589,3,False
1719,3,False
651,2,True
2033,4,False
96,0,True
612,4,False
2181,4,True
1961,2,True
187,0,False
165,1,True
1471,2,False
771,1,True
713,1,True
2657,5,True
1184,1,False
1686,3,True
141,2,False
1670,3,False
776,2,True
388,3,False
1319,2,True
464,1,False
3103,5,False
39,2,False
2495,5,False
675,1,False
1085,2,False
482,1,True
370,0,False
1607,3,False
1146,0,True
234,0,False
779,1,False
2818,6,False
1820,4,False
2974,4,True
4122,7,True
1774,3,True
880,1,True
2549,4,False
2817,6,True
1473,7,True
295,0,False
940,0,False
691,1,True
621,1,True
2018,4,True
466,1,False
2097,4,True
1268,1,True
527,1,True
967,2,True
2250,3,True
1295,1,True
3901,6,True
751,2,False
503,1,False
453,1,False
935,0,True
1768,3,False
2150,4,True
76,0,True
3611,8,False
2801,5,False
1425,4,True
1869,3,False
248,0,True
357,2,True
18,1,False
4928,9,True
1646,2,False
2521,3,False
1081,3,False
1902,2,True
1208,2,False
1232,7,False
3925,7,True
770,4,True
380,0,False
578,2,False
2789,4,False
951,4,True
2917,5,False
1271,4,True
3292,5,True
4479,9,False
880,2,True
1054,1,True
2230,5,False
1330,2,True
1261,4,True
885,4,True
1268,4,False
444,1,False
8,0,True
2276,2,True
971,2,False
2981,8,False
1745,6,True
2341,8,True
112,2,True
847,3,True
1754,2,True
1418,1,False
1066,3,True
1204,1,False
2139,6,False
3723,10,True
1718,2,False
1921,5,True
565,2,True
4656,6,True
843,1,True
3190,5,False
49,1,False
1350,5,True
564,2,True
1579,6,False
46,1,False
1228,2,True
891,4,False
3095,5,False
853,4,False
433,2,False
751,3,True
404,3,False
496,0,True
1389,6,False
3471,8,False
4210,10,False
1146,0,False
2344,2,False
1125,5,False
446,3,False
2531,5,True
23,1,False
200,2,False
173,0,True
1947,3,True
3498,8,True
407,1,True
867,3,False
387,1,False
536,2,False
881,5,True
496,0,False
1762,4,True
111,0,False
2857,5,True
1698,5,True
3720,7,True
1557,5,False
108,3,True
1470,4,False
1111,3,False
1005,0,True
3171,7,True
40,1,False
608,2,True
906,2,True
487,3,False
2035,0,True
159,2,True
659,1,False
2105,2,True
3599,6,False
3006,5,True
1450,2,True
711,2,True
1067,4,False
1707,2,True
1883,6,True
4014,7,False
2050,4,True
1591,2,False
2786,6,True
193,0,True
1663,6,True
503,1,True
1737,4,True
1928,5,False
675,1,True
336,2,True
1020,2,False
301,2,True
665,3,True
3320,7,True
1609,3,False
3964,6,False
1376,3,True
805,1,True
2654,6,False
264,0,True
189,0,True
3178,4,False
384,0,True
1320,6,False
96,1,True
56,2,True
241,2,False
1101,2,True
3339,6,True
2777,6,True
1629,2,True
410,1,False
452,1,True
1043,3,True
3966,9,True
280,2,True
3485,5,False
1063,1,False
1349,1,True
1337,3,False
2158,7,False
1471,2,True
512,1,True
6079,11,True
1418,4,True
2271,3,False
875,1,True
96,2,False
411,0,True
2143,6,False
2680,8,True
2591,4,True
3727,1,True
1040,2,False
1058,2,True
2707,5,True
2288,3,False
2048,0,False
1140,1,True
4819,8,True
1094,2,True
857,3,True
3671,5,False
1587,4,True
541,0,False
366,1,True
197,1,False
480,1,True
212,0,False
937,2,True
132,1,True
3286,8,True
1488,1,False
1551,3,True
1232,4,True
2185,5,True
818,3,True
3211,7,True
910,1,False
924,1,True
1616,4,True
3562,8,False
2131,5,False
1740,3,True
50,0,False
2284,4,False
1100,4,True
543,3,False
3646,5,False
1503,2,True
939,2,True
3115,7,False
2242,6,True
334,1,True
939,0,False
2277,4,False
3514,8,False
295,1,False
2001,4,False
1552,1,False
1630,4,False
3257,3,True
1501,1,True
916,3,False
737,2,True
981,3,False
3665,8,True
3408,6,True
3256,6,True
1257,2,False
185,1,False
4501,7,False
913,2,True
3320,9,False
284,1,True
2543,4,True
245,3,True
1628,4,False
1957,3,False
301,0,True
2657,2,False
2595,3,False
1352,3,False
3475,5,False
2441,1,False
2378,2,False
1663,2,False
2001,5,True
1690,4,True
28,3,False
1875,2,True
1025,1,False
1034,1,False
318,2,True
2898,7,False
861,4,True
3198,10,True
3587,7,True
390,4,True
2178,4,True
1197,2,False
848,1,True
1003,1,False
4889,13,True
1847,4,False
484,2,False
3055,9,True
2042,6,False
538,0,False
135,4,False
2200,5,False
1434,6,True
6216,10,False
2194,5,False
229,2,False
1940,1,False
310,0,True
2267,7,False
2121,6,False
1714,5,True
849,1,False
724,3,False
300,4,True
2007,5,False
54,0,True
1323,3,True
1243,3,True
2394,6,False
2229,3,False
3057,3,False
2789,5,False
841,2,True
1767,6,False
2275,7,False
1372,5,True
446,2,False
282,1,False
1438,6,False
402,4,False
1151,3,True
3174,7,True
933,2,False
1987,7,True
1799,3,False
2182,3,False
98,2,True
3253,5,True
647,2,True
1667,4,True
7,1,False
5874,10,True
6015,14,False
1071,3,True
1291,3,False
1361,2,True
1086,2,True
1214,4,True
3817,7,True
2436,6,False
2890,8,False
195,1,False
665,2,True
751,2,True
2016,7,False
1408,4,True
586,0,True
427,1,True
317,1,True
296,1,True
4481,9,False
671,2,False
69,0,True
3062,7,True
1905,6,False
788,2,True
2300,5,True
1053,1,False
2694,6,False
3384,6,True
3633,9,True
1682,5,True
475,2,True
4067,7,True
1286,2,False
1821,3,True
559,2,False
1917,7,False
3484,7,False
780,0,True
2204,4,True
4269,7,True
1892,3,True
1157,1,False
272,1,False
2576,3,False
253,1,True
691,2,False
4664,6,False
142,1,True
2154,4,False
610,1,True
1013,2,True
4304,6,False
977,3,False
625,3,True
2112,4,True
2839,7,True
1755,4,True
1946,5,True
1013,1,True
1732,2,False
770,1,False
2205,5,False
672,1,False
889,3,False
532,4,False
2267,3,True
1133,2,True
3868,7,False
1053,5,False
1003,0,True
743,1,True
402,3,False
280,2,False
2359,5,False
49,1,False
200,1,False
409,3,True
3631,7,True
1525,1,False
908,1,True
408,1,False
788,3,False
570,5,False
1345,4,False
759,1,True
1980,5,True
503,0,False
2059,2,False
3219,6,False
2240,5,True
91,3,False
